,id,satno,cosparId,objectClass,mass,xSectAvg
17066,45513,45513.0,1979-095CV,Payload Fragmentation Debris,,
17067,45514,45514.0,1980-022D,Payload Debris,,
17068,45515,45515.0,1981-043AA,Payload Fragmentation Debris,,
17069,45516,45516.0,1984-069AM,Payload Fragmentation Debris,,
17070,45517,45517.0,1984-072X,Payload Fragmentation Debris,,
17071,45518,45518.0,1985-013D,Payload Fragmentation Debris,,
17072,45519,45519.0,1985-100E,Payload Fragmentation Debris,,
17073,45520,45520.0,1985-100F,Payload Fragmentation Debris,,
17074,45521,45521.0,1988-005BB,Payload Fragmentation Debris,,
17075,45522,45522.0,1988-005BC,Payload Fragmentation Debris,,
17076,45523,45523.0,1990-017D,Payload Debris,,
17077,45524,45524.0,1990-086F,Payload Debris,,
17078,45526,45526.0,1999-025EYR,Payload Fragmentation Debris,,
17079,45527,45527.0,1999-025EYS,Payload Fragmentation Debris,,
17080,45529,45529.0,2020-024A,Payload,15.0,0.1156
17081,45530,45530.0,2020-024B,Rocket Body,,0.153152641862502
17082,45531,45531.0,2020-025A,Payload,260.0,13.5615
17083,45532,45532.0,2020-025B,Payload,260.0,13.5615
17084,45533,45533.0,2020-025C,Payload,260.0,13.5615
17085,45534,45534.0,2020-025D,Payload,260.0,13.5615
17086,45535,45535.0,2020-025E,Payload,260.0,13.5615
17087,45536,45536.0,2020-025F,Payload,260.0,13.5615
17088,45537,45537.0,2020-025G,Payload,260.0,13.5615
17089,45538,45538.0,2020-025H,Payload,260.0,13.5615
17090,45539,45539.0,2020-025J,Payload,260.0,13.5615
17091,45540,45540.0,2020-025K,Payload,260.0,13.5615
17092,45541,45541.0,2020-025L,Payload,260.0,13.5615
17093,45542,45542.0,2020-025M,Payload,260.0,13.5615
17094,45543,45543.0,2020-025N,Payload,260.0,13.5615
17095,45544,45544.0,2020-025P,Payload,260.0,13.5615
17096,45545,45545.0,2020-025Q,Payload,260.0,13.5615
17097,45546,45546.0,2020-025R,Payload,260.0,13.5615
17098,45547,45547.0,2020-025S,Payload,260.0,13.5615
17099,45548,45548.0,2020-025T,Payload,260.0,13.5615
17100,45549,45549.0,2020-025U,Payload,260.0,13.5615
17101,45550,45550.0,2020-025V,Payload,260.0,13.5615
17102,45551,45551.0,2020-025W,Payload,260.0,13.5615
